Unnamed: 0.1,Unnamed: 0,ï»¿ID,text,label,TFIDF_RF_prob,BERT_CNN_prob,TFIDF_LR_prob,GPT2_CNN_prob
0,696,697,"Statement of Buta Biberaj Recall Group, Virginians for Safe Communities  on   new report on how Loudoun Soros DA freed abuser to kill victim Justice4Regina Stop Biberaj NOW- sign recall petition at BounceButa dot Com   ",0,0.547601696,0.052391674,0.135545876,0.02325269
1,1540,1541,"200 days till the loudoun county school board goes on trial, and the loudoun county parents are the jurors. 

Nov 5th. Save the date 

school schoolboards Loudoun saveourschools kidsfirst     ",0,0.180389955,1.50E-05,0.056487787,7.80E-05
2,771,772,Let's get one thing straight. These parents who claimed to be concerned about CRT are using threats of violence to force school board members to resign so that they can take over. That's called terrorism. These people are terrorists! ,0,0.12320635,9.91E-06,0.036374646,5.51E-05
3,2216,2217,"    Man upset b/c his 9th grade daughter raped/sodomized in girls' restroom by gender fluid boy arrested during school board mtng &amp; smeared as 'domestic terrorist'.  

Loudoun County, Virginia, accused of lying &amp; covering the rape up.   ",1,0.978,1,0.999906007,1
4,118,119,"The parents have spoken! Furious moms and dads confront Loudoun County school board and reveal they've filed petitions to have chair and three board members removed after boy-in-a-skirt rape 'cover-up'
via  T'is a beautiful thing  ",1,0.893540863,0.9999132,0.896881031,0.99999845
5,2217,2218,"Angry parents are likely among the 120 speakers scheduled to address the Loudoun County School Board this evening in the public comment period to begin at 530pm.  Speakers, virtual and in-person,  will be limited to 1 minute each.  ",0,0.059177671,2.15E-06,0.095486412,5.13E-06
6,2211,2212,The proposed amendment by Governor Youngkin for HB1138 not only undermines our democratic principles but also sets a dangerous precedent for Governors to remove locally elected officials. ,0,0.07889784,1.04E-08,0.016389623,1.42E-06
7,1409,1410,Loudoun County Parents Take a Stand Against 'Wokest School Board in America' ,0,0.01938232,5.74E-05,0.027981565,1.76E-05
8,1845,1846,There you have it. The extreme antics of the LCPS School Board are a direct extension of the Loudoun Democrat unit committee - which at last report is still planning to ship radicals into the SB meeting today. ,0,0.166192867,2.99E-08,0.072211457,6.69E-06
9,678,679,"Republican Fascism  On the March
Loudoun school board member Beth Barts resigns her position ",0,0.02736512,3.09E-07,0.026473311,2.03E-05
10,1151,1152,"âÃÃºThis school board has got to go,âÃÃ¹ said Maria Sherwell. ""This makes Loudoun [County School Board] look calm.""

",0,0.053551767,1.82E-05,0.021634765,6.60E-05
11,468,469,"Maybe it should be the school board arrested not the parents. Virginia's Loudoun County School Board silences public comment after raucous meeting, 2 men arrested

",0,0.085040854,0.000199427,0.047515522,0.000196857
12,411,412,"So the boy in Loudoun co that raped 2 girls in 2 diff schools as he wore skirts was sentenced.
The judge knowing the details of the accounts told him, he frightened her. 
The media smeared the dad of one girl that attended a school board meeting. He was rightfully angry. The NYT",1,0.969201142,0.99999464,0.985594053,0.99974316
13,626,627,The Loudoun County School Board just got even WORSE  via ,0,0.034961973,7.80E-06,0.023162621,1.25E-05
14,493,494,"Bongino applauds the Loudoun County students who stood up to their school board and served them a lawsuit for their reckless mask mandates and more! 
-
TUNE IN LIVE TO  COMING UP (12P-3P):  | WMAL APP | ""ALEXA, PLAY W-M-A-L"" ",0,0.063955456,1.54E-05,0.01613162,4.31E-06
15,1402,1403,"""Republicans seized"" 

source:  ",0,0.017209443,2.03E-06,0.046857229,6.11E-05
16,2051,2052,"Hate to say it, but is it time to ""NOT back the Blue""???? 
Parents Protesting CRT at Loudoun County School Board Meeting Declared Unlawful Assembly - Sheriff Deputy Makes at Least Two Arrests (VIDEO)  via ",0,0.051142377,0.000111436,0.013217953,4.52E-05
17,16,17, Why won't you condemn the Loudoun County School board which covered up rape? Where is your statement?,1,0.778425207,1,0.998453613,1
18,650,651,"   Please note this irresponsible statement by Loudoun County School Board Member Harris Mahedavi on making school closing decisions based on whether bars/pubs are open, especially when Omicron affects kids more ",0,0.052216476,0.000119042,0.051523584,5.37E-05
19,1491,1492,Loudoun County School Board Passes Preferred Pronoun Policy ,1,0.711803043,0.9406595,0.961013848,0.000755029
20,393,394,"Incredible news coming out of Loudoun County. We now know for sure that the school board 1. Knew of the sexual assault and 2. Lied about it in an attempted cover-up.

Fantastic reporting from  ",1,0.943861634,1,0.997933292,1
21,2123,2124,"Loudoun County School Board meeting, Virgina. 

The parents seem a little upset. Should their opinions matter? ",0,0.085994397,6.24E-06,0.080815866,2.70E-05
22,1949,1950,How is the Loudoun school board still employed? ,0,0.030601688,1.52E-06,0.020370065,0.000147725
23,381,382,"'I Serve God First': Teacher Wins Trans Dispute with Loudoun County School Board, Lawsuit Over Policy Goes On - ",1,0.94141027,0.99999547,0.875716379,0.99915016
24,248,249,"Victory For Parents As Judge Sides With Loudoun Parents, Against Prosecutor On School Board Recall   Good deal!",0,0.093233739,7.32E-06,0.028413153,2.27E-06
25,666,667,"SCHOOL WATCH: In a 5 to 2 vote, the Lenoir County Board of Education passed a motion to require all students and staff, regardless of vaccination status, to wear masks indoors for at least the first 3 weeks of the new school year.
",0,0.30386024,1.10E-05,0.150413748,0.000865237
26,1918,1919,"'YOU are the face of privilege, YOU do not speak for us': Loudoun County VA teacher TORCHES school board and DISMANTLES Critical Race Theory (watch)  ",0,0.133102866,8.07E-05,0.148548523,0.000111992
27,357,358,"She needs to be removed from office, along with the school board. Time for new leadership in Loudoun. ",0,0.107122075,4.37E-06,0.087956129,1.24E-06
28,604,605,THIS is the book that sparked the whole Loudoun County battle?!?! Can you imagine being publicly demonized as a bigot for not wanting this book to be given to your child in public school? They told her it was too explicit to read out loud at the fucking school board meeting! ï£¿Ã¼Â§Â£ ,0,0.272482107,0.52963173,0.527663102,0.001577738
29,1322,1323,"   Parents were invited to the Loudoun school board meeting too.

Then they were called domestic terrorists.",0,0.104375127,0.000675478,0.234858819,0.000266157
30,2437,2438,"This story is unbelievably twisted and sad.  A trans kid sexually assaults two different kids and the only one convicted is the victim's dad for defending her in front of the school board.

",1,0.878572958,1,0.938431778,0.9999999
