Unnamed: 0.1,Unnamed: 0,ID,text,label,TFIDF_RF_prob,BERT_CNN_prob,TFIDF_LR_prob,GPT2_CNN_prob
0,1536,1568,"Loudoun County's school superintendent notified the school board the day the girl said she was attacked. 
 I FOLLOW BACK

 ",1,0.818094797,0.9577606,0.874956017,0.8423379
1,858,876,"Loudoun County School Board elects new member whom GOP leader views as a 'moderate'



Loudoun County father arrested at school board event

Says school tried to cover up daughter's bathroom assault

",1,0.958981843,0.9939229,0.89471406,0.99354655
2,1737,1771,Loudoun County father arrested at school board event says school tried to cover up daughter's bathroom assault | Fox News Ã¢ÂÂ¦Ã¢ÂÂ©  ,1,0.981947577,0.9964592,0.955117126,0.9934454
3,1740,1774,LCPS alleged sexual assaults and the progressive  School Board covered it up. Just a case of trannies being celebrated no issues here WTF  loudouncounty Loudoun,1,0.791197784,0.9999945,0.717410195,0.99992085
4,115,117,"They knew. They lied. They had the father arrested, &amp; continued to lie. Proof:
Loudoun County's school superintendent notified the school board the day the girl said she was attacked. The email provided few details or specifics about the assault.
 ",1,0.953907596,0.99222845,0.943383482,0.9722696
5,2032,2071,Loudoun School board superintendent apologizes for failing to keep kids safe but refuses to resign | Daily Mail Online ,0,0.43493521,0.001522024,0.410927564,0.0362461
6,293,299,Youngkin Calls for Loudoun County School Board to Resign After Email Revealed a Sexual Assault Cover Up  ,1,0.974261922,0.9983327,0.945329348,0.9998024
7,221,226,"Geraldo: Re: father of the girl raped, and thrown out of the Loudoun Cty school board mtg ""That father scared the hell out of me""  Imagine how that girl felt as she was being raped? You want to talk about scared?! WTH is wrong with Geraldo?",1,0.885108276,0.99884003,0.897520877,0.9807097
8,2746,1-859,"Matt Walsh LEVELS Loudoun County School Board: âÃÃºYou Are All Child AbusersâÃÃ¹

",1,0.819162911,0.99891865,0.754225565,0.9936259
9,1380,1408,"Do VAGov voters really want a man in charge of VA government who approves what this school board did to this girl and her distraught father?
",1,0.73715145,0.99616146,0.863398754,0.9568635
10,60,62," The evening news broadcasts on all three major commercial networks failed to report on the Loudoun County Public School Board's alleged cover-up of a 14-year-old girl being raped by fellow student

I fixed it for you. It doesnÃ¢â¬â¢t matter if transgendered only that they are a rapist",0,0.873018959,0.995817,0.84277047,0.83995694
11,2643,1-547,"LCPS CANCELS PE TEACHER who stands up for his religious beliefs. 

Anyone who dares to speak against this school board is either put on the HitList or in this case put on Admin Leave. 

Thisï£¿Ã¼Ã«Ã¡ï£¿Ã¼Ã¨Âª is what he said before he was Canceled. 

CanceledTeacher LCPSFail ",1,0.550271967,0.9784582,0.638154255,0.96601695
12,1010,1033,"  Please, marginalized? We live in a world where a trans woman anally rapes a young girl in the girl's restroom, the school board knew and downplayed it, enabling the trans woman to rape another. 



Far from marginalized...

",1,0.8794815,0.9999602,0.940957138,0.981908
13,2346,2393,'You guys failed': Talks of multiple sexual assaults dominate Loudoun school board meeting  poli opinion,0,0.448486452,0.16774307,0.501180557,0.3331128
14,2697,1-732,"Left-wing member of Loudoun County School Board abruptly resigns as district faces scrutiny over sexual assault cases.

",1,0.484777542,0.25733086,0.545178841,0.2851771
15,274,280,"The Democrat ran Loudoun County school board in Virginia covered up child rape that happened in schools because of Democrat policy, you should be ashamed to excuse them! mondaythoughts  civilwar Unrealized ArrestFauci Rilling Stone Rep. Lauren Boebert  ",1,0.892183988,0.9999993,0.926580065,0.99909043
