Unnamed: 0.1,Unnamed: 0,Ã¯Â»Â¿ID,text,label,TFIDF_RF_prob,BERT_CNN_prob,TFIDF_LR_prob,GPT2_CNN_prob
0,696,697,"Statement of Buta Biberaj Recall Group, Virginians for Safe Communities  on   new report on how Loudoun Soros DA freed abuser to kill victim Justice4Regina Stop Biberaj NOW- sign recall petition at BounceButa dot Com   ",1,0.881212389,0.9999566,0.956831726,0.997726
1,1540,1541,"200 days till the loudoun county school board goes on trial, and the loudoun county parents are the jurors. 

Nov 5th. Save the date 

school schoolboards Loudoun saveourschools kidsfirst     ",1,0.235034683,0.91065896,0.422719657,0.8434332
2,771,772,Let's get one thing straight. These parents who claimed to be concerned about CRT are using threats of violence to force school board members to resign so that they can take over. That's called terrorism. These people are terrorists! ,1,0.561649889,0.9997986,0.30883705,0.97656745
3,2216,2217,"    Man upset b/c his 9th grade daughter raped/sodomized in girls' restroom by gender fluid boy arrested during school board mtng &amp; smeared as 'domestic terrorist'.  

Loudoun County, Virginia, accused of lying &amp; covering the rape up.   ",0,0.077780764,0.00023884,0.031301973,1.90E-05
4,118,119,"The parents have spoken! Furious moms and dads confront Loudoun County school board and reveal they've filed petitions to have chair and three board members removed after boy-in-a-skirt rape 'cover-up'
via  T'is a beautiful thing  ",1,0.809775861,0.9999962,0.796736612,0.99981445
5,2217,2218,"Angry parents are likely among the 120 speakers scheduled to address the Loudoun County School Board this evening in the public comment period to begin at 530pm.  Speakers, virtual and in-person,  will be limited to 1 minute each.  ",0,0.096884723,2.83E-06,0.016068614,6.60E-06
6,2211,2212,The proposed amendment by Governor Youngkin for HB1138 not only undermines our democratic principles but also sets a dangerous precedent for Governors to remove locally elected officials. ,1,0.503109739,0.9998068,0.783839705,0.36207813
7,1409,1410,Loudoun County Parents Take a Stand Against 'Wokest School Board in America' ,1,0.376070156,0.9936233,0.500622407,0.8344496
8,1845,1846,There you have it. The extreme antics of the LCPS School Board are a direct extension of the Loudoun Democrat unit committee - which at last report is still planning to ship radicals into the SB meeting today. ,0,0.116677907,0.4299537,0.202897773,0.6144769
9,678,679,"Republican Fascism  On the March
Loudoun school board member Beth Barts resigns her position ",1,0.754183784,0.9997744,0.851705799,0.9986933
10,1151,1152,"Ã¢Â€ÂšÃƒÂ„ÃƒÂºThis school board has got to go,Ã¢Â€ÂšÃƒÂ„ÃƒÂ¹ said Maria Sherwell. ""This makes Loudoun [County School Board] look calm.""

",0,0.179421797,0.001381254,0.046137967,0.070552394
11,468,469,"Maybe it should be the school board arrested not the parents. Virginia's Loudoun County School Board silences public comment after raucous meeting, 2 men arrested

",1,0.045938919,2.99E-07,0.01003947,0.028739432
12,411,412,"So the boy in Loudoun co that raped 2 girls in 2 diff schools as he wore skirts was sentenced.
The judge knowing the details of the accounts told him, he frightened her. 
The media smeared the dad of one girl that attended a school board meeting. He was rightfully angry. The NYT",0,0.081463252,0.000177031,0.014821025,7.88E-05
13,626,627,The Loudoun County School Board just got even WORSE  via ,0,0.152458464,0.006806674,0.056017149,0.008856589
14,493,494,"Bongino applauds the Loudoun County students who stood up to their school board and served them a lawsuit for their reckless mask mandates and more! 
-
TUNE IN LIVE TO  COMING UP (12P-3P):  | WMAL APP | ""ALEXA, PLAY W-M-A-L"" ",0,0.162547131,0.09633598,0.204159639,0.016392712
15,1402,1403,"""Republicans seized"" 

source:  ",0,0.049753351,0.055115122,0.083733363,0.021813108
16,2051,2052,"Hate to say it, but is it time to ""NOT back the Blue""???? 
Parents Protesting CRT at Loudoun County School Board Meeting Declared Unlawful Assembly - Sheriff Deputy Makes at Least Two Arrests (VIDEO)  via ",0,0.087967461,6.31E-06,0.068068304,0.006951167
17,16,17, Why won't you condemn the Loudoun County School board which covered up rape? Where is your statement?,1,0.060815269,0.002657071,0.015654695,0.019605193
18,650,651,"   Please note this irresponsible statement by Loudoun County School Board Member Harris Mahedavi on making school closing decisions based on whether bars/pubs are open, especially when Omicron affects kids more ",0,0.228152794,1.51E-06,0.081871988,0.000161292
19,1491,1492,Loudoun County School Board Passes Preferred Pronoun Policy ,0,0.048953865,1.13E-09,0.029108381,0.000219196
20,393,394,"Incredible news coming out of Loudoun County. We now know for sure that the school board 1. Knew of the sexual assault and 2. Lied about it in an attempted cover-up.

Fantastic reporting from  ",0,0.213473926,4.71E-05,0.093895987,0.010740299
21,2123,2124,"Loudoun County School Board meeting, Virgina. 

The parents seem a little upset. Should their opinions matter? ",0,0.115580882,2.14E-07,0.156280455,0.000970839
22,1949,1950,How is the Loudoun school board still employed? ,1,0.117325346,0.7877087,0.300879867,0.00105783
23,381,382,"'I Serve God First': Teacher Wins Trans Dispute with Loudoun County School Board, Lawsuit Over Policy Goes On - ",0,0.106756263,3.28E-05,0.135617688,0.004719064
24,248,249,"Victory For Parents As Judge Sides With Loudoun Parents, Against Prosecutor On School Board Recall   Good deal!",1,0.884564047,0.97130394,0.975560484,0.94828963
25,666,667,"SCHOOL WATCH: In a 5 to 2 vote, the Lenoir County Board of Education passed a motion to require all students and staff, regardless of vaccination status, to wear masks indoors for at least the first 3 weeks of the new school year.
",0,0.197812779,5.03E-06,0.061367531,5.25E-05
26,1918,1919,"'YOU are the face of privilege, YOU do not speak for us': Loudoun County VA teacher TORCHES school board and DISMANTLES Critical Race Theory (watch)  ",0,0.193161376,2.77E-05,0.005329637,1.04E-05
27,357,358,"She needs to be removed from office, along with the school board. Time for new leadership in Loudoun. ",1,0.714746886,1,0.944982399,0.9983758
28,604,605,THIS is the book that sparked the whole Loudoun County battle?!?! Can you imagine being publicly demonized as a bigot for not wanting this book to be given to your child in public school? They told her it was too explicit to read out loud at the fucking school board meeting! Ã¯Â£Â¿ÃƒÂ¼Ã‚Â§Ã‚Â£ ,0,0.080886114,0.000218783,0.073485814,1.35E-05
29,1322,1323,"   Parents were invited to the Loudoun school board meeting too.

Then they were called domestic terrorists.",0,0.207318741,6.57E-06,0.007258566,0.000111246
30,2437,2438,"This story is unbelievably twisted and sad.  A trans kid sexually assaults two different kids and the only one convicted is the victim's dad for defending her in front of the school board.

",0,0.073673405,6.21E-07,0.020903004,0.000133032
31,664,665,"LIBERALISM DESTROYS ALL! Ã¢Â€ÂšÃƒÂ¶Ã¢Â€Â ÃƒÂ”Ã¢ÂˆÂÃƒÂ¨Ã¢Â€ÂšÃƒÂ¶Ã¢Â€Â ÃƒÂ”Ã¢ÂˆÂÃƒÂ¨Ã¢Â€ÂšÃƒÂ¶Ã¢Â€Â ÃƒÂ”Ã¢ÂˆÂÃƒÂ¨ Marxists IndoctrinationNation
WATCH: VirginiaÃ¢Â€ÂšÃƒÂ„ÃƒÂ´s Loudoun County School Board silences public comment, 2 arrested after meeting erupts 
",0,0.036653918,1.34E-08,0.012675843,0.004635197
32,1786,1787,VIDEO: A Virginia teacher stood up against a local school board by encouraging parents and students to speak out against their racial agenda. ,0,0.063555651,4.12E-07,0.006655109,7.13E-06
33,701,702,"   Looks like covering for rape is how this democracy works.

A girl was raped May 28th by a ""non binary"" student and on June 22 the school board lied and said they have had no assaults.

",0,0.098127941,1.12E-06,0.020477279,3.66E-05
34,1078,1079," 
Loudoun County School Board
stopped this father telling the County of his daughters rape.
Perpetrated by a boy wearing a skirt, using the female toilets! ",0,0.184181104,5.14E-06,0.022974235,0.000184209
35,732,733,Loudoun County father who was dragged out of woke school board meeting and arrested was trying to tell other parents his daughter was raped by a boy 'in a skirt' in the girls' bathroom and that staff ignored it   ,0,0.035959879,3.15E-06,0.024180928,2.93E-05
36,2249,2250,"The Loudoun County School Board in Virginia abruptly cut off its public comment period Tuesday night, when a crowd commenting on a proposed policy that would expand transgender student rights became unruly. ",0,0.05033579,5.03E-08,0.008754587,2.27E-07
37,1094,1095,"Alternatively:

Parents VIOLENTLY Protesting Critical Race Theory And Transgender Teaching in Classrooms Arrested At School Board Meeting in Loudoun County   ",0,0.032979205,7.23E-08,0.004786155,0.000825075
38,616,617,Loudoun County Parents are fighting like Hard Knocks to get rid of and BAN CTR in Loudoun County. There even recalling the School Board for there Support in CRT.,1,0.793226805,0.01501812,0.8208026,0.9725566
39,1425,1426,"And so begins the incremental walk to Loudoun County...

",0,0.140442902,0.000499085,0.045385089,0.0042414
40,1613,1614,"That's what happens when you put egotistical idiots in charge.  It's my way or no way, na na na na na.  Get rid of her, replace her.  FoxNews",1,0.209407297,0.9992532,0.34232477,0.9967912
41,799,800,     It's not a claim. Both parties had sample ballots. Both parties included endorsed candidates for the non partisan positions for school board and soil and water conservation. Do you even live in Loudoun?,0,0.077603322,0.004086805,0.009394495,0.8099167
42,2071,2072,"Go to the school board meeting and ask them the same questions. Then ask why they wonÃ¢Â€ÂšÃƒÂ„ÃƒÂ´t answer them. Loudoun school parents 'livid and sickened' after being kept in dark about sex life survey

",0,0.102431252,4.14E-05,0.202961019,0.00063854
43,2341,2342," A man gets arrested for making threats at a School Board meeting (near DC). Incident covered by NBC.


AG announces authorities will ""target"" school board threats


AG says he doesn't know (inconvenient) facts behind arrest

SMDH",0,0.186451051,4.41E-05,0.122363385,1.66E-05
44,93,94," ""Consent of the Governed"" has no meaning to the Loudoun County School Board.",0,0.064581519,4.68E-05,0.071075916,0.00052361
45,1244,1245, Did he let sexual assaults in northern Virginias schools get swept under from public view too? HowÃ¢Â€ÂšÃƒÂ„ÃƒÂ´s that investigation into the Loudoun School board going? Even started yet?,1,0.245222407,0.003431529,0.14548329,0.30704436
46,605,606,"LoudounCountyÃ¢Â€ÂšÃƒÂ„ÃƒÂ´s sheriff rejected a request by the school districtÃ¢Â€ÂšÃƒÂ„ÃƒÂ´s superintendent to dramatically ramp up the LawEnforcement presence at a pair of school board meetings in August, newly released emails show. ",0,0.086462296,0.04344305,0.01375331,0.003390067
47,1775,1776, Cowardice on display by Loudoun County School Board.,0,0.049043968,4.05E-06,0.082686524,0.001707802
48,2486,2487,"WOKE Loudoun County school $275K-a-year superintendent apologizes for failing to protect female student aged 15 from rape by boy in a skirt in the girls' bathroom: Board member resigns
",1,0.655929261,0.99999964,0.661345992,0.9952598
49,1259,1260,"March is the ""Virginia School Board Association Equity in Education Month"" in loudouncounty Ã¯Â£Â¿ÃƒÂ¼ÃƒÂ´ÃƒÂ‘

Always love the tone deaf virtual signaling from Loudoun County Public Schools. ",0,0.097893533,4.68E-08,0.141043342,0.000121925
50,1341,1342, The Loudoun county school board members should be charged with felony accessory charges.,1,0.420550341,0.9999901,0.66876,0.99508923
51,1920,1921,"The note was sent to Loudoun County school board member Brenda Sheridan's child. The family read it around Christmas. It threatened death unless Brenda quit.
We documented &gt;200 threats &amp; harassing messages to US school board members   Ã¯Â£Â¿ÃƒÂ¼ÃƒÂ«ÃƒÂ¡  ",1,0.648668244,0.99941945,0.783243001,0.9901894
52,573,574,Loudoun school board meeting erupts in shouting as parent group submits petition to oust boardÃ‚Â¬Ã¢Â€Â chairman ,1,0.770438012,0.9999199,0.810182422,0.9999088
53,781,782,"Parents sue Loudoun County school board over bias program, policing student speech  freespeech discrimination Virginia",1,0.172831079,2.68E-05,0.105325362,0.014632519
54,1188,1189,School board SJWs suppressed dissent by sabotaging public meeting. ManagedDemocracy Ã¢Â€ÂšÃƒÂ„ÃƒÂ® increasingly a Thing in America ,0,0.047632623,0.54778934,0.009161087,0.00025067
55,1546,1547,...&gt;Virginia mom who survived Maoist China eviscerates school board's/Biden's critical race theory push  FoxNews,0,0.040152486,0.000369884,0.007270685,1.64E-05
56,1903,1904,"Governor Youngkin has amended a bill to set up an election for the entire Loudoun County School Board this year

Original bill was technical fix to stagger terms that passed unanimously 

Would need to pass Dem controlled Senate, not sure if it will

",1,0.652472706,0.9977163,0.682677202,0.5484722
57,1623,1624,"  You are correct. I live in Loudoun County, VA. My district was ground zero for out of control school board meetings due to the disinformation highway of CRT, vaccines, masks &amp; transgender rights. The alt-right has a mission to repeat untruths so often that people became fearful.",0,0.055704796,3.35E-05,0.060288719,0.22086354
58,958,959,"We're hearing that there are teachers who support Tanner but will not speak out b/c they're fearful that LCPS will do the same thing to them.

So that we're clear. Woke teachers and school board officials can call parents racists, sexists, homophobes and keep doing their jobs. 2/",0,0.108680885,0.000165465,0.011192347,0.000392539
59,221,222,"Loudoun County father arrested at school board event says school tried to cover up daughter's bathroom assault


I would be arrest but the abuser would be at the hospital or the morgue. Support the dad not the freaking abusers you asshats",0,0.091941898,0.04346779,0.024156477,0.000143256
60,1819,1820,      No one threatened lives of teachers which is why National School Board withdrew their letter. But teachers THREATENED PARENTS. And parents in NOVA - Dem &amp; GOP KNOW IT. ,0,0.094979047,5.31E-05,0.030546568,0.93674755
61,1588,1589,Ã¯Â£Â¿ÃƒÂ¼ÃƒÂ­Ã¢Â€Â¢Glenn Youngkin says 'there must be resignations' for 'gross negligence' on Loudoun County School Board ,1,0.5518937,0.9999926,0.721192148,0.998456
