Unnamed: 0.1,Unnamed: 0,ï»¿ID,text,label,TFIDF_RF_prob,BERT_CNN_prob,TFIDF_LR_prob,GPT2_CNN_prob
0,696,697,"Statement of Buta Biberaj Recall Group, Virginians for Safe Communities  on   new report on how Loudoun Soros DA freed abuser to kill victim Justice4Regina Stop Biberaj NOW- sign recall petition at BounceButa dot Com   ",0,0.125192506,0.001344956,0.027592612,0.001069905
1,1540,1541,"200 days till the loudoun county school board goes on trial, and the loudoun county parents are the jurors. 

Nov 5th. Save the date 

school schoolboards Loudoun saveourschools kidsfirst     ",0,0.053318967,0.000788049,0.054943702,0.000503206
2,771,772,Let's get one thing straight. These parents who claimed to be concerned about CRT are using threats of violence to force school board members to resign so that they can take over. That's called terrorism. These people are terrorists! ,1,0.752885021,0.99999976,0.560535668,0.99999654
3,2216,2217,"    Man upset b/c his 9th grade daughter raped/sodomized in girls' restroom by gender fluid boy arrested during school board mtng &amp; smeared as 'domestic terrorist'.  

Loudoun County, Virginia, accused of lying &amp; covering the rape up.   ",0,0.050207408,5.61E-08,0.033399755,9.54E-05
4,118,119,"The parents have spoken! Furious moms and dads confront Loudoun County school board and reveal they've filed petitions to have chair and three board members removed after boy-in-a-skirt rape 'cover-up'
via  T'is a beautiful thing  ",0,0.105610446,0.000922306,0.01623699,0.000215436
5,2217,2218,"Angry parents are likely among the 120 speakers scheduled to address the Loudoun County School Board this evening in the public comment period to begin at 530pm.  Speakers, virtual and in-person,  will be limited to 1 minute each.  ",0,0.07492285,1.48E-05,0.018555043,0.001161063
6,2211,2212,The proposed amendment by Governor Youngkin for HB1138 not only undermines our democratic principles but also sets a dangerous precedent for Governors to remove locally elected officials. ,0,0.644849992,0.9945368,0.200202534,0.002068961
7,1409,1410,Loudoun County Parents Take a Stand Against 'Wokest School Board in America' ,1,0.575619937,0.97461104,0.479829525,0.69117725
8,1845,1846,There you have it. The extreme antics of the LCPS School Board are a direct extension of the Loudoun Democrat unit committee - which at last report is still planning to ship radicals into the SB meeting today. ,1,0.767726721,0.99953806,0.464310704,0.99515694
9,678,679,"Republican Fascism  On the March
Loudoun school board member Beth Barts resigns her position ",1,0.305005218,0.9997578,0.263037033,0.99932504
10,1151,1152,"âÃÃºThis school board has got to go,âÃÃ¹ said Maria Sherwell. ""This makes Loudoun [County School Board] look calm.""

",0,0.119906026,1.63E-05,0.116529992,0.006671504
11,468,469,"Maybe it should be the school board arrested not the parents. Virginia's Loudoun County School Board silences public comment after raucous meeting, 2 men arrested

",0,0.115492687,1.17E-06,0.032529424,0.000334702
12,411,412,"So the boy in Loudoun co that raped 2 girls in 2 diff schools as he wore skirts was sentenced.
The judge knowing the details of the accounts told him, he frightened her. 
The media smeared the dad of one girl that attended a school board meeting. He was rightfully angry. The NYT",0,0.046831402,1.52E-05,0.037521784,4.37E-05
13,626,627,The Loudoun County School Board just got even WORSE  via ,0,0.312793978,7.67E-07,0.457341231,0.005833008
14,493,494,"Bongino applauds the Loudoun County students who stood up to their school board and served them a lawsuit for their reckless mask mandates and more! 
-
TUNE IN LIVE TO  COMING UP (12P-3P):  | WMAL APP | ""ALEXA, PLAY W-M-A-L"" ",0,0.041000484,0.008036695,0.034613355,0.00270251
15,1402,1403,"""Republicans seized"" 

source:  ",1,0.374480547,0.049406756,0.683030638,0.91887015
16,2051,2052,"Hate to say it, but is it time to ""NOT back the Blue""???? 
Parents Protesting CRT at Loudoun County School Board Meeting Declared Unlawful Assembly - Sheriff Deputy Makes at Least Two Arrests (VIDEO)  via ",1,0.890636623,0.9999925,0.956062841,0.99999976
17,16,17, Why won't you condemn the Loudoun County School board which covered up rape? Where is your statement?,0,0.018764826,1.45E-06,0.004357877,2.12E-05
18,650,651,"   Please note this irresponsible statement by Loudoun County School Board Member Harris Mahedavi on making school closing decisions based on whether bars/pubs are open, especially when Omicron affects kids more ",0,0.076083775,1.96E-06,0.076783413,0.000242484
19,1491,1492,Loudoun County School Board Passes Preferred Pronoun Policy ,0,0.023668641,4.28E-06,0.006951939,3.43E-05
20,393,394,"Incredible news coming out of Loudoun County. We now know for sure that the school board 1. Knew of the sexual assault and 2. Lied about it in an attempted cover-up.

Fantastic reporting from  ",0,0.066765631,2.26E-07,0.035426889,2.77E-06
21,2123,2124,"Loudoun County School Board meeting, Virgina. 

The parents seem a little upset. Should their opinions matter? ",0,0.224190721,2.96E-06,0.193664016,3.74E-05
22,1949,1950,How is the Loudoun school board still employed? ,0,0.032659299,5.74E-07,0.009616346,4.75E-05
23,381,382,"'I Serve God First': Teacher Wins Trans Dispute with Loudoun County School Board, Lawsuit Over Policy Goes On - ",0,0.038088496,5.40E-05,0.012082717,0.000815784
24,248,249,"Victory For Parents As Judge Sides With Loudoun Parents, Against Prosecutor On School Board Recall   Good deal!",0,0.149372101,0.000374059,0.171870456,0.000412245
